filename,comp,ld1,st1,ld0,st0,L1,L2,execution_time,comm_gm,comm_sm,total_cost,units,R,P,lambda,g_GM,g_L1,g_L2,g_SM,error,filepath
1_40_gpuSDNoTest.cu,61.0,14.399999999999999,9.600000000000001,1.5,0.5,16.799999999999997,4.800000000000001,0.04767608642578129,1180.800000000001,8.0,1249.800000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_40_gpuSDNoTest.cu
1_40_gpuSDNoTest.ptx,51.0,13.0,2.0,21.0,15.0,10.0,3.0,0.04314422607421875,936.0,144.0,1131.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_40_gpuSDNoTest.ptx
1_41_gpuPMCCNoTest.cu,59.0,12.0,8.0,1.5,0.5,14.0,4.0,0.04009246826171875,984.0,8.0,1051.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_41_gpuPMCCNoTest.cu
1_41_gpuPMCCNoTest.ptx,45.0,16.0,1.0,13.0,10.0,11.0,3.0,0.05634307861328125,1340.0,92.0,1477.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_41_gpuPMCCNoTest.ptx
1_42_gpuSignif.cu,21.0,1.7999999999999998,1.2000000000000002,0.0,0.0,2.0999999999999996,0.6000000000000001,0.006431579589843755,147.60000000000014,0.0,168.60000000000014,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_42_gpuSignif.cu
1_42_gpuSignif.ptx,63.0,14.0,5.0,0.0,0.0,13.0,3.0,0.05382537841796875,1348.0,0.0,1411.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_42_gpuSignif.ptx
1_43_dUpdateSignif.cu,36.0,7.199999999999999,4.800000000000001,0.0,0.0,8.399999999999999,2.4000000000000004,0.02389526367187502,590.4000000000005,0.0,626.4000000000005,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_43_dUpdateSignif.cu
1_43_dUpdateSignif.ptx,52.0,9.0,56.0,0.0,0.0,45.0,13.0,0.13153076171875,3396.0,0.0,3448.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_43_dUpdateSignif.ptx
1_44_noNAsPmccMeans.cu,30.0,4.8,3.2,1.5,0.5,5.6,1.6,0.016464233398437503,393.6000000000001,8.0,431.6000000000001,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_44_noNAsPmccMeans.cu
1_44_noNAsPmccMeans.ptx,29.0,5.0,1.0,3.0,2.0,4.0,1.0,0.01895904541015625,448.0,20.0,497.0,time units (based on t parameter),32.0,1024.0,0.8,400.0,4.0,32.0,4.0,,data_b5_t15/1_44_noNAsPmccMeans.ptx
