gpu_architecture,gpu_id,kernel_i,kernel_j,kernel_id,grid_x,grid_y,block_x,block_y,total_blocks,threads_per_block,total_threads,execution_time_us,launch_overhead_us,predicted_time_us,predicted_time_ms
GTX_TITAN_X,cuda4,15777,199,15777_199,5,5,15,15,25,225,5625,12.782,2.51,15.292,0.015292
GTX_TITAN_X,cuda4,10008,81,10008_81,5,5,15,15,25,225,5625,10.109,2.51,12.619,0.012619
GTX_TITAN_X,cuda4,10802,7,10802_7,5,5,15,15,25,225,5625,11.26,2.51,13.77,0.01377
GTX_TITAN_X,cuda4,10802,8,10802_8,5,5,15,15,25,225,5625,9.96,2.51,12.47,0.01247
GTX_TITAN_X,cuda4,10802,3,10802_3,5,5,15,15,25,225,5625,12.097,2.51,14.607,0.014606999999999998
GTX_TITAN_X,cuda4,10383,20,10383_20,5,5,15,15,25,225,5625,10.976,2.51,13.486,0.013486000000000001
GTX_TITAN_X,cuda4,10383,9,10383_9,5,5,15,15,25,225,5625,10.853,2.51,13.363,0.013363
GTX_TITAN_X,cuda4,10383,0,10383_0,5,5,15,15,25,225,5625,10.051,2.51,12.561,0.012561
GTX_TITAN_X,cuda4,10383,28,10383_28,5,5,15,15,25,225,5625,9.597,2.51,12.107,0.012107
GTX_TITAN_X,cuda4,10383,21,10383_21,5,5,15,15,25,225,5625,10.588,2.51,13.097999999999999,0.013097999999999999
GTX_TITAN_X,cuda4,10383,24,10383_24,5,5,15,15,25,225,5625,9.597,2.51,12.107,0.012107
GTX_TITAN_X,cuda4,16427,1,16427_1,5,5,15,15,25,225,5625,10.813,2.51,13.323,0.013323
GTX_TITAN_X,cuda4,10121,0,10121_0,5,5,15,15,25,225,5625,11.996,2.51,14.506,0.014506
GTX_TITAN_X,cuda4,10121,1,10121_1,5,5,15,15,25,225,5625,10.095,2.51,12.605,0.012605
GTX_TITAN_X,cuda4,10121,3,10121_3,5,5,15,15,25,225,5625,10.131,2.51,12.641,0.012641
GTX_TITAN_X,cuda4,10121,5,10121_5,5,5,15,15,25,225,5625,10.252,2.51,12.762,0.012762
GTX_TITAN_X,cuda4,10126,2,10126_2,5,5,15,15,25,225,5625,13.605,2.51,16.115000000000002,0.016115
GTX_TITAN_X,cuda4,10790,97,10790_97,5,5,15,15,25,225,5625,10.318,2.51,12.828,0.012827999999999999
GTX_TITAN_X,cuda4,11022,6,11022_6,5,5,15,15,25,225,5625,9.589,2.51,12.099,0.012099
GTX_TITAN_X,cuda4,11022,4,11022_4,5,5,15,15,25,225,5625,10.483,2.51,12.993,0.012993000000000001
GTX_TITAN_X,cuda4,11022,3,11022_3,5,5,15,15,25,225,5625,10.156,2.51,12.666,0.012666
GTX_TITAN_X,cuda4,11022,5,11022_5,5,5,15,15,25,225,5625,10.14,2.51,12.65,0.01265
GTX_TITAN_X,cuda4,11819,1,11819_1,5,5,15,15,25,225,5625,11.496,2.51,14.006,0.014006000000000001
GTX_TITAN_X,cuda4,10024,0,10024_0,5,5,15,15,25,225,5625,9.864,2.51,12.374,0.012374000000000001
GTX_TITAN_X,cuda4,10220,1,10220_1,5,5,15,15,25,225,5625,9.597,2.51,12.107,0.012107
GTX_TITAN_X,cuda4,10242,0,10242_0,5,5,15,15,25,225,5625,12.547,2.51,15.057,0.015057000000000001
